Estacion;FECHA (YYMMDD);HORA (HHMM);MP10;MP2_5;CO;NO;NO2;O3;Humedad;Temperatura;Viento_v;;;;
Pudahuel;970702;0;143,5;;2,44583;;;8,45833;;;;;;;
Pudahuel;970703;0;152,625;;2,56666;;;8,45833;;;;;;;
Pudahuel;970704;0;277,458;;6,29999;;;9,375;;;;;;;
Pudahuel;970705;0;177,292;;5,55833;;;13,8333;;;;;;;
Pudahuel;970706;0;108,958;;2,52083;;;23,0417;;;;;;;
Pudahuel;970707;0;91,875;;1,25833;;;5,875;;;;;;;
Pudahuel;970708;0;177,417;;3,7;;;3,625;;;;;;;
Pudahuel;970709;0;147,042;;4,40416;;;6,04166;;;;;;;
Pudahuel;970710;0;132,875;;1,99583;;;4,83333;;;;;;;
Pudahuel;970711;0;111,125;;2,06666;;;11,875;;;;;;;
Pudahuel;970712;0;31,5833;;0,783332;;;10,375;;;;;;;
Pudahuel;970713;0;170,333;;3,87916;;;14;;;;;;;
Pudahuel;970714;0;187,042;;4,47916;;;6,5;;;;;;;
Pudahuel;970715;0;129,458;;2,26666;;;12,4583;;;;;;;
Pudahuel;970716;0;226,083;;3,8625;;;12,9583;;;;;;;
Pudahuel;970717;0;248,708;;5,89999;;;6,82608;;;;;;;
Pudahuel;970718;0;274,583;;7,73332;;;8,31818;;;;;;;
Pudahuel;970719;0;308,667;;7,46666;;;18,7917;;;;;;;
Pudahuel;970720;0;235,917;;6,42082;;;19,375;;;;;;;
Pudahuel;970721;0;139,375;;2,37916;;;11,125;;;;;;;
Pudahuel;970722;0;236,5;;3,73333;;;12,7917;;;;;;;
Pudahuel;970723;0;278,5;;4,6375;;;22,625;;;;;;;
Pudahuel;970724;0;269,042;;4,8;;;15,125;;;;;;;
Pudahuel;970725;0;232,292;;2,41666;;;10,125;;;;;;;
Pudahuel;970726;0;251,958;;4,55;;;6,45833;;;;;;;
Pudahuel;970727;0;148,428;;4,80908;;;20,6667;;;;;;;
Pudahuel;970728;0;31;;0,47826;;;10,0417;;;;;;;
Pudahuel;970729;0;48,875;;0,658333;;;8,29166;;;;;;;
Pudahuel;970730;0;8,66666;;0,470833;;;3,94736;;;;;;;
Pudahuel;970731;0;25,7917;;0,662498;;;10,125;;;;;;;
Pudahuel;970801;0;47,5833;;0,612499;;;8,5;;;;;;;
Pudahuel;970802;0;85,9166;;1,19583;;;8,08333;;;;;;;
Pudahuel;970803;0;111,25;;1,74583;;;17,25;;;;;;;
Pudahuel;970804;0;159,524;;2,2913;;;10,6667;;;;;;;
Pudahuel;970805;0;162,625;;1,59583;;;10,25;;;;;;;
Pudahuel;970806;0;220,125;;2,69583;;;26,5;;;;;;;
Pudahuel;970807;0;270,25;;5,14999;;;32,2916;;;;;;;
Pudahuel;970808;0;252,5;;4,33749;;;29,625;;;;;;;
Pudahuel;970809;0;198,75;;2,84166;;;30,2083;;;;;;;
Pudahuel;970810;0;174,667;;3,14999;;;37,0416;;;;;;;
Pudahuel;970811;0;192,625;;2,51666;;;28,0417;;;;;;;
Pudahuel;970812;0;181,143;;2,28333;;;25,8333;;;;;;;
Pudahuel;970813;0;70,2083;;0,4625;;;7,33333;;;;;;;
Pudahuel;970814;0;122,708;;1,25833;;;3,79166;;;;;;;
Pudahuel;970815;0;;;;;;4,625;;;;;;;
Pudahuel;970816;0;;;;;;10,5833;;;;;;;
Pudahuel;970817;0;9,29166;;0,379166;;;18,2083;;;;;;;
Pudahuel;970818;0;16,4583;;0,445832;;;12,2083;;;;;;;
Pudahuel;970819;0;51,625;;0,804166;;;14,0417;;;;;;;
Pudahuel;970820;0;105,542;;1,6375;;;16,2917;;;;;;;
Pudahuel;970821;0;151,208;;2,39583;;;21,4167;;;;;;;
Pudahuel;970822;0;148,208;;2,45833;;;16,6667;;;;;;;
Pudahuel;970823;0;134,667;;1,10833;;;28,9583;;;;;;;
Pudahuel;970824;0;145,375;;1,625;;;36,4583;;;;;;;
Pudahuel;970825;0;164,25;;1,54166;;;33,125;;;;;;;
Pudahuel;970826;0;194,958;;2,02083;;;36,9583;;;;;;;
Pudahuel;970827;0;190,667;;2,36666;;;36,125;;;;;;;
Pudahuel;970828;0;170,75;;1,95;;;33,4166;;;;;;;
Pudahuel;970829;0;109,375;;1,27917;;;20,3333;;;;;;;
Pudahuel;970830;0;60,875;;0,516665;;;3,79166;;;;;;;
Pudahuel;970831;0;41,6522;;0,966665;;;8,625;;;;;;;
Pudahuel;970901;0;58,4166;;0,991666;;;8,20833;;;;;;;
Pudahuel;970902;0;69,8333;;0,770832;;;5,91666;;;;;;;
Pudahuel;970903;0;21,75;;0,637499;;;7,95833;;;;;;;
Pudahuel;970904;0;31,6667;;1,09167;;;7,83333;;;;;;;
Pudahuel;970905;0;68,2083;;1,12917;;;5,16666;;;;;;;
Pudahuel;970906;0;52,0833;;0,945832;;;6,33333;;;;;;;
Pudahuel;970907;0;16,3333;;0,387499;;;18,8333;;;;;;;
Pudahuel;970908;0;31,1739;;0,329166;;;19,9583;;;;;;;
Pudahuel;970909;0;38,5;;0,354166;;;17,625;;;;;;;
Pudahuel;970910;0;78,5833;;0,624999;;;18,0909;;;;;;;
Pudahuel;970911;0;35,1428;;0,295454;;;14,6667;;;;;;;
Pudahuel;970912;0;;;;;;15,875;;;;;;;
Pudahuel;970913;0;;;;;;25,1667;;;;;;;
Pudahuel;970914;0;78,7083;;0,949999;;;28,9167;;;;;;;
Pudahuel;970915;0;192,625;;1,9;;;46,625;;;;;;;
Pudahuel;970916;0;187,375;;2,59999;;;31,5417;;;;;;;
Pudahuel;970917;0;174,458;;2,32916;;;39,5;;;;;;;
Pudahuel;970918;0;63,1666;;1,1375;;;23,5833;;;;;;;
Pudahuel;970919;0;44,75;;0,841665;;;17,25;;;;;;;
Pudahuel;970920;0;56,8333;;0,849998;;;28,25;;;;;;;
Pudahuel;970921;0;45,5;;0,558331;;;30,1667;;;;;;;
Pudahuel;970922;0;32,2609;;0,216666;;;19,2917;;;;;;;
Pudahuel;970923;0;40,4166;;0,258333;;;21,1667;;;;;;;
Pudahuel;970924;0;53,875;;0,299999;;;23,0833;;;;;;;
Pudahuel;970925;0;112,083;;0,820832;;;31,6667;;;;;;;
Pudahuel;970926;0;96,5;;0,879165;;;12,25;;;;;;;
Pudahuel;970927;0;20,4167;;0,345833;;;11,75;;;;;;;
Pudahuel;970928;0;55,875;;0,729166;;;23,4167;;;;;;;
Pudahuel;970929;0;72,375;;0,891665;;;23,9167;;;;;;;
Pudahuel;970930;0;49,2083;;0,316666;;;23,3913;;;;;;;
Pudahuel;971001;0;76,8333;;0,516665;;;36,9166;;;;;;;
Pudahuel;971002;0;27,2917;;0,258333;;;8,25;;;;;;;
Pudahuel;971003;0;28,875;;0,562499;;;16,9167;;;;;;;
Pudahuel;971004;0;19,875;;0,591665;;;13,9167;;;;;;;
Pudahuel;971005;0;39,6666;;0,479166;;;20,5417;;;;;;;
Pudahuel;971006;0;73,25;;0,424999;;;25,625;;;;;;;
Pudahuel;971007;0;89,4583;;0,470833;;;21,8333;;;;;;;
Pudahuel;971008;0;62,5;;0,245833;;;23,5417;;;;;;;
Pudahuel;971009;0;57,3333;;0,229166;;;19,0833;;;;;;;
Pudahuel;971010;0;54,2083;;0,329166;;;14,1667;;;;;;;
Pudahuel;971011;0;62,8333;;0,495832;;;16,25;;;;;;;
Pudahuel;971012;0;43,2916;;0,358333;;;22,0417;;;;;;;
Pudahuel;971013;0;21,1818;;0,356521;;;14,75;;;;;;;
Pudahuel;971014;0;41,625;;0,554166;;;19,6667;;;;;;;
Pudahuel;971015;0;48,5416;;0,541665;;;14,875;;;;;;;
Pudahuel;971016;0;62,5;;0,362499;;;22,75;;;;;;;
Pudahuel;971017;0;61,5;;0,3125;;;23,25;;;;;;;
Pudahuel;971018;0;47,6666;;0,158333;;;16,875;;;;;;;
Pudahuel;971019;0;42,5833;;0,154166;;;24,5417;;;;;;;
Pudahuel;971020;0;60,6666;;0,1875;;;30,4583;;;;;;;
Pudahuel;971021;0;70,2916;;0,354166;;;34,8333;;;;;;;
Pudahuel;971022;0;55,75;;0,183333;;;20,3333;;;;;;;
Pudahuel;971023;0;82,5833;;0,345832;;;33,2916;;;;;;;
Pudahuel;971024;0;70,2083;;0,254166;;;27,5833;;;;;;;
Pudahuel;971025;0;39,75;;0,1375;;;25,2083;;;;;;;
Pudahuel;971026;0;34,125;;0,170833;;;13,25;;;;;;;
Pudahuel;971027;0;46,125;;0,245833;;;19,0417;;;;;;;
Pudahuel;971028;0;42,0416;;0,1125;;;13,4583;;;;;;;
Pudahuel;971029;0;54,75;;0,179166;;;25,125;;;;;;;
Pudahuel;971030;0;55,875;;0,174999;;;24,2917;;;;;;;
Pudahuel;971031;0;105,833;;0,370833;;;36,875;;;;;;;
Pudahuel;971101;0;70,7083;;0,329166;;;25,375;;;;;;;
Pudahuel;971102;0;53,5833;;0,145833;;;26,625;;;;;;;
Pudahuel;971103;0;56,1666;;0,154166;;;21,25;;;;;;;
Pudahuel;971104;0;67;;0,308332;;;19,0833;;;;;;;
Pudahuel;971105;0;110,292;;0,624999;;;22,7083;;;;;;;
Pudahuel;971106;0;127,292;;0,779165;;;22,9167;;;;;;;
Pudahuel;971107;0;84,0416;;0,504166;;;36,0833;;;;;;;
Pudahuel;971108;0;87,1666;;0,383333;;;19,4583;;;;;;;
Pudahuel;971109;0;91,6666;;0,708332;;;31,1579;;;;;;;
Pudahuel;971110;0;37,5833;;0,0999998;;;21,2632;;;;;;;
Pudahuel;971111;0;65,4583;;0,15;;;16,875;;;;;;;
Pudahuel;971112;0;;;;;;16,8333;;;;;;;
Pudahuel;971113;0;59,0435;;0,3375;;;24,875;;;;;;;
Pudahuel;971114;0;68,0416;;0,287499;;;31,4167;;;;;;;
Pudahuel;971115;0;60,25;;0,270833;;;32,4583;;;;;;;
Pudahuel;971116;0;44,7916;;0,208333;;;28,9583;;;;;;;
Pudahuel;971117;0;63,7916;;0,1625;;;32,2083;;;;;;;
Pudahuel;971118;0;70,9583;;0,166667;;;32,875;;;;;;;
Pudahuel;971119;0;57,25;;0,1125;;;30,6667;;;;;;;
Pudahuel;971120;0;59,375;;0,1375;;;35,3157;;;;;;;
Pudahuel;971121;0;83,75;;0,245833;;;38,7142;;;;;;;
Pudahuel;971122;0;82,125;;0,279166;;;40,1052;;;;;;;
Pudahuel;971123;0;67,5833;;0,154166;;;37,625;;;;;;;
Pudahuel;971124;0;69,5416;;0,170833;;;19,4167;;;;;;;
Pudahuel;971125;0;50,0416;;0,104166;;;20,5;;;;;;;
Pudahuel;971126;0;50,4166;;0,120833;;;25,1667;;;;;;;
Pudahuel;971127;0;82,2916;;0,166666;;;28,2083;;;;;;;
Pudahuel;971128;0;80,5416;;0,15;;;35,9166;;;;;;;
Pudahuel;971129;0;75,4583;;0,129166;;;25,375;;;;;;;
Pudahuel;971130;0;68,7916;;0,183333;;;29,9583;;;;;;;
Pudahuel;971201;0;73,5;;0,154166;;;27,5833;;;;;;;
Pudahuel;971202;0;81;;0,125;;;24,625;;;;;;;
Pudahuel;971203;0;92,125;;0,295833;;;32,3333;;;;;;;
Pudahuel;971204;0;98,8333;;0,508332;;;34,5416;;;;;;;
Pudahuel;971205;0;95,4166;;0,391666;;;40,375;;;;;;;
Pudahuel;971206;0;98,9166;;0,416666;;;44,375;;;;;;;
Pudahuel;971207;0;88,3333;;0,366666;;;46,5;;;;;;;
Pudahuel;971208;0;81,9166;;0,370832;;;38,3333;;;;;;;
Pudahuel;971209;0;76,625;;0,225;;;27,3333;;;;;;;
Pudahuel;971210;0;79,7083;;0,283333;;;23,1667;;;;;;;
Pudahuel;971211;0;84,25;;0,229166;;;21,875;;;;;;;
Pudahuel;971212;0;36,5833;;0,466666;;;9,875;;;;;;;
Pudahuel;971213;0;86,375;;0,799999;;;30,2083;;;;;;;
Pudahuel;971214;0;89,0416;;1,15833;;;45,625;;;;;;;
Pudahuel;971215;0;76,5833;;0,387499;;;39,2916;;;;;;;
Pudahuel;971216;0;65,25;;0,191666;;;25,4583;;;;;;;
Pudahuel;971217;0;61,25;;0,1875;;;27,625;;;;;;;
Pudahuel;971218;0;68,1666;;0,179166;;;30,3333;;;;;;;
Pudahuel;971219;0;70,125;;0,216666;;;30,0417;;;;;;;
Pudahuel;971220;0;61;;0,262499;;;31,0833;;;;;;;
Pudahuel;971221;0;53,25;;0,362499;;;10,4167;;;;;;;
Pudahuel;971222;0;62,625;;0,408332;;;26,8333;;;;;;;
Pudahuel;971223;0;70,75;;0,445832;;;36,875;;;;;;;
Pudahuel;971224;0;91,85;;0,485713;;;40,375;;;;;;;
Pudahuel;971225;0;97,2999;;0,669999;;;27,9167;;;;;;;
Pudahuel;971226;0;52,75;;0,104166;;;19,625;;;;;;;
Pudahuel;971227;0;54,625;;0,225;;;26,25;;;;;;;
Pudahuel;971228;0;64,5416;;0,233333;;;35,9166;;;;;;;
Pudahuel;971229;0;69,4166;;0,208333;;;33,7083;;;;;;;
Pudahuel;971230;0;83,7083;;0,183333;;;31,25;;;;;;;
Pudahuel;971231;0;52,8333;;0,279166;;;23,8333;;;;;;;
Pudahuel;980101;0;77;;0,645832;;;42,2916;;;;;;;
Pudahuel;980102;0;67,4166;;0,25;;;40,5833;;;;;;;
Pudahuel;980103;0;73,2916;;0,283333;;;48,2916;;;;;;;
Pudahuel;980104;0;76,5416;;0,254166;;;42,5416;;;;;;;
Pudahuel;980105;0;80,4583;;0,195833;;;39,5;;;;;;;
Pudahuel;980106;0;84,7083;;0,170833;;;46,9166;;;;;;;
Pudahuel;980107;0;116,708;;0,266666;;;31,4762;;;;;;;
Pudahuel;980108;0;113,208;;0,233333;;;39,8333;;;;;;;
Pudahuel;980109;0;83,7083;;0,183333;;;27,0417;;;;;;;
Pudahuel;980110;0;88,0833;;0,229166;;;31,4167;;;;;;;
Pudahuel;980111;0;86,5833;;0,349999;;;32,6666;;;;;;;
Pudahuel;980112;0;102,708;;0,341666;;;37,8333;;;;;;;
Pudahuel;980113;0;104,333;;0,324999;;;27,625;;;;;;;
Pudahuel;980114;0;91,125;;0,272727;;;34,7083;;;;;;;
Pudahuel;980115;0;65,875;;0,1875;;;35,125;;;;;;;
Pudahuel;980116;0;106,417;;0,445832;;;35,8333;;;;;;;
Pudahuel;980117;0;99,125;;0,329166;;;46,4166;;;;;;;
Pudahuel;980118;0;104,583;;0,291666;;;34,0833;;;;;;;
Pudahuel;980119;0;67,4166;;0,145833;;;22,5217;;;;;;;
Pudahuel;980120;0;86,5833;;0,108333;;;28;;;;;;;
Pudahuel;980121;0;;;0,121052;;;25,8333;;;;;;;
Pudahuel;980122;0;;;0,233333;;;41,7083;;;;;;;
Pudahuel;980123;0;;;0,308333;;;34,5416;;;;;;;
Pudahuel;980124;0;;;0,4;;;35,9583;;;;;;;
Pudahuel;980125;0;;;0,229166;;;35,9166;;;;;;;
Pudahuel;980126;0;;;0,125;;;18,5217;;;;;;;
Pudahuel;980127;0;;;0,15;;;27,5;;;;;;;
Pudahuel;980128;0;96,2856;;0,229166;;;32,0416;;;;;;;
Pudahuel;980129;0;84,7916;;0,287499;;;34,5;;;;;;;
Pudahuel;980130;0;96,2083;;0,4;;;44,1304;;;;;;;
Pudahuel;980131;0;98,5833;;0,412499;;;46,8333;;;;;;;
Pudahuel;980201;0;82,5;;0,270833;;;34,5833;;;;;;;
Pudahuel;980202;0;51,4583;;0,179166;;;17,7083;;;;;;;
Pudahuel;980203;0;92,4166;;0,275;;;26,1667;;;;;;;
Pudahuel;980204;0;64,8333;;0,195833;;;30,8333;;;;;;;
Pudahuel;980205;0;79,375;;0,208333;;;17,3333;;;;;;;
Pudahuel;980206;0;82,5;;0,245833;;;32,6666;;;;;;;
Pudahuel;980207;0;92,6666;;0,358333;;;23,375;;;;;;;
Pudahuel;980208;0;85,5416;;0,270833;;;28,5833;;;;;;;
Pudahuel;980209;0;90,1428;;0,277272;;;30,375;;;;;;;
Pudahuel;980210;0;102,042;;0,358333;;;31,5417;;;;;;;
Pudahuel;980211;0;84,5416;;0,370833;;;38,9166;;;;;;;
Pudahuel;980212;0;89,2083;;0,220833;;;27,2917;;;;;;;
Pudahuel;980213;0;88,6666;;0,208333;;;30,0417;;;;;;;
Pudahuel;980214;0;101,125;;0,387499;;;38,4583;;;;;;;
Pudahuel;980215;0;69,9166;;0,275;;;;;;;;;;
Pudahuel;980216;0;45,4583;;0,245833;;;12,3333;;;;;;;
Pudahuel;980217;0;71,826;;0,216666;;;29,625;;;;;;;
Pudahuel;980218;0;92,2916;;0,216666;;;32,375;;;;;;;
Pudahuel;980219;0;61,3333;;0,141666;;;24;;;;;;;
Pudahuel;980220;0;69,875;;;;;28,75;;;;;;;
Pudahuel;980221;0;61,0833;;;;;30,75;;;;;;;
Pudahuel;980222;0;61,4583;;;;;13,9583;;;;;;;
Pudahuel;980223;0;57,5833;;;;;15,9583;;;;;;;
Pudahuel;980224;0;66,5;;;;;23,9167;;;;;;;
Pudahuel;980225;0;81,1666;;;;;29,3333;;;;;;;
Pudahuel;980226;0;109,542;;;;;28,375;;;;;;;
Pudahuel;980227;0;137,75;;;;;30,0833;;;;;;;
Pudahuel;980228;0;126,042;;;;;42,25;;;;;;;
Pudahuel;980301;0;76,9583;;;;;36;;;;;;;
Pudahuel;980302;0;52,7916;;;;;26,375;;;;;;;
Pudahuel;980303;0;69,375;;;;;31,8333;;;;;;;
Pudahuel;980304;0;51,2083;;;;;22,1667;;;;;;;
Pudahuel;980305;0;70,375;;;;;5,25;;;;;;;
Pudahuel;980306;0;121,542;;;;;18,0417;;;;;;;
Pudahuel;980307;0;116,875;;;;;35,5416;;;;;;;
Pudahuel;980308;0;133,125;;;;;35;;;;;;;
Pudahuel;980309;0;124,333;;;;;29,625;;;;;;;
Pudahuel;980310;0;163;;;;;15,2917;;;;;;;
Pudahuel;980311;0;103,958;;;;;29,3333;;;;;;;
Pudahuel;980312;0;91,9583;;;;;27;;;;;;;
Pudahuel;980313;0;108,208;;0,424999;;;37,4166;;;;;;;
Pudahuel;980314;0;103,917;;0,345833;;;27,2083;;;;;;;
Pudahuel;980315;0;68,5833;;0,495832;;;35,2916;;;;;;;
Pudahuel;980316;0;68,0833;;0,270833;;;19,4167;;;;;;;
Pudahuel;980317;0;67;;0,341666;;;16,375;;;;;;;
Pudahuel;980318;0;100,917;;0,554166;;;25,4583;;;;;;;
Pudahuel;980319;0;124,167;;0,683332;;;31,375;;;;;;;
Pudahuel;980320;0;128,417;;0,891665;;;33,6666;;;;;;;
Pudahuel;980321;0;112,542;;0,649999;;;31,125;;;;;;;
Pudahuel;980322;0;178,125;;1,40833;;;37,25;;;;;;;
Pudahuel;980323;0;143,333;;1,03333;;;28,3333;;;;;;;
Pudahuel;980324;0;207,917;;1,82083;;;39,75;;;;;;;
Pudahuel;980325;0;209,542;;2,40833;;;29,9167;;;;;;;
Pudahuel;980326;0;91;;0,229166;;;18,875;;;;;;;
Pudahuel;980327;0;99,5833;;0,258333;;;24,2083;;;;;;;
Pudahuel;980328;0;108,875;;0,4375;;;25,9583;;;;;;;
Pudahuel;980329;0;151,458;;1,175;;;42,375;;;;;;;
Pudahuel;980330;0;151,75;;1,25;;;40,125;;;;;;;
Pudahuel;980331;0;97,125;;0,316666;;;31,3333;;;;;;;
Pudahuel;980401;0;146,125;;0,895832;;;44,7083;;;;;;;
Pudahuel;980402;0;150,042;;0,758332;;;49,1666;;;;;;;
Pudahuel;980403;0;69,0952;;0,345833;;;20,25;;;;;;;
Pudahuel;980404;0;66,4583;;0,445832;;;16,3333;;;;;;;
Pudahuel;980405;0;87,0833;;0,412499;;;29,75;;;;;;;
Pudahuel;980406;0;135,167;;0,716666;;;16,5;;;;;;;
Pudahuel;980407;0;211,083;;1,8125;;;16,125;;;;;;;
Pudahuel;980408;0;166,167;;0,887499;;;12,6667;;;;;;;
Pudahuel;980409;0;63,875;;0,866666;;;13,9167;;;;;;;
Pudahuel;980410;0;19,3333;;0,641665;;;11,7083;;;;;;;
Pudahuel;980411;0;36,0416;;0,2625;;;11,9583;;;;;;;
Pudahuel;980412;0;31,3333;;0,375;;;6,41666;;;;;;;
Pudahuel;980413;0;46,3333;;0,462499;;;3,75;;;;;;;
Pudahuel;980414;0;48,4583;;0,458333;;;2,875;;;;;;;
Pudahuel;980415;0;68,6666;;0,666666;;;13,9167;;;;;;;
Pudahuel;980416;0;176;;2,18333;;;23,0417;;;;;;;
Pudahuel;980417;0;216,727;;2,43182;;;32,875;;;;;;;
Pudahuel;980418;0;209,917;;2,5;;;22,75;;;;;;;
Pudahuel;980419;0;165,042;;1,45;;;6,54166;;;;;;;
Pudahuel;980420;0;135,625;;1,33333;;;10,25;;;;;;;
Pudahuel;980421;0;76,8333;;0,429166;;;3,54166;;;;;;;
Pudahuel;980422;0;88,375;;0,466666;;;20,2917;;;;;;;
Pudahuel;980423;0;131,958;;1,12083;;;22,2083;;;;;;;
Pudahuel;980424;0;139,042;;1,36666;;;21,3333;;;;;;;
Pudahuel;980425;0;102,5;;0,762499;;;23,5;;;;;;;
Pudahuel;980426;0;35,75;;0,879166;;;10,5417;;;;;;;
Pudahuel;980427;0;91,5416;;1,24583;;;13,5;;;;;;;
Pudahuel;980428;0;228,652;;3,29166;;;22,3333;;;;;;;
Pudahuel;980429;0;267,625;;4,19582;;;7,625;;;;;;;
